id,domain_name,currency,monthly_payment,website,MAC_address,domain
1,loc.gov,IDR,18.30,https://e-recht24.de/odio/in/hac/habitasse/platea.html?sapien=id&placerat=pretium&ante=iaculis&nulla=diam&justo=erat&aliquam=fermentum&quis=justo&turpis=nec&eget=condimentum&elit=neque&sodales=sapien&scelerisque=placerat&mauris=ante&sit=nulla&amet=justo&eros=aliquam&suspendisse=quis&accumsan=turpis&tortor=eget&quis=elit&turpis=sodales&sed=scelerisque&ante=mauris&vivamus=sit&tortor=amet&duis=eros&mattis=suspendisse&egestas=accumsan&metus=tortor&aenean=quis&fermentum=turpis&donec=sed,BB-BE-4F-D7-54-97,gov
2,vk.com,PHP,29.17,https://google.com.hk/sapien/arcu.html?vestibulum=faucibus&ante=orci&ipsum=luctus&primis=et&in=ultrices,74-37-9B-EA-78-9D,info
3,apple.com,CNY,39.48,http://sun.com/mauris/viverra/diam.jpg?velit=nunc&id=commodo&pretium=placerat&iaculis=praesent&diam=blandit&erat=nam&fermentum=nulla&justo=integer&nec=pede&condimentum=justo&neque=lacinia&sapien=eget&placerat=tincidunt&ante=eget&nulla=tempus&justo=vel&aliquam=pede&quis=morbi&turpis=porttitor&eget=lorem&elit=id&sodales=ligula&scelerisque=suspendisse&mauris=ornare&sit=consequat&amet=lectus&eros=in&suspendisse=est&accumsan=risus&tortor=auctor&quis=sed&turpis=tristique&sed=in&ante=tempus&vivamus=sit&tortor=amet&duis=sem&mattis=fusce&egestas=consequat&metus=nulla&aenean=nisl&fermentum=nunc&donec=nisl&ut=duis&mauris=bibendum&eget=felis&massa=sed&tempor=interdum&convallis=venenatis&nulla=turpis&neque=enim&libero=blandit&convallis=mi&eget=in&eleifend=porttitor&luctus=pede&ultricies=justo&eu=eu&nibh=massa&quisque=donec&id=dapibus&justo=duis&sit=at&amet=velit&sapien=eu&dignissim=est&vestibulum=congue&vestibulum=elementum&ante=in&ipsum=hac&primis=habitasse&in=platea&faucibus=dictumst&orci=morbi&luctus=vestibulum&et=velit&ultrices=id&posuere=pretium,BD-17-26-28-D1-79,edu
4,lulu.com,BYR,26.25,https://wisc.edu/neque/duis/bibendum.jsp?a=quam&suscipit=suspendisse&nulla=potenti&elit=nullam&ac=porttitor&nulla=lacus&sed=at&vel=turpis&enim=donec&sit=posuere,9C-9B-60-CA-B4-96,name
5,angelfire.com,SEK,15.79,https://ustream.tv/luctus/ultricies/eu/nibh.xml?amet=erat&diam=fermentum&in=justo&magna=nec,2C-7C-5C-A6-A7-43,net
6,vk.com,PEN,13.88,https://ucsd.edu/molestie/lorem.aspx?eget=elementum&massa=ligula&tempor=vehicula&convallis=consequat&nulla=morbi&neque=a&libero=ipsum&convallis=integer&eget=a&eleifend=nibh&luctus=in&ultricies=quis,B7-C5-77-A9-E4-A8,mil
7,mac.com,RUB,29.54,https://altervista.org/diam/cras/pellentesque.aspx?lorem=ipsum&vitae=primis&mattis=in&nibh=faucibus&ligula=orci&nec=luctus&sem=et&duis=ultrices&aliquam=posuere&convallis=cubilia&nunc=curae&proin=mauris&at=viverra&turpis=diam&a=vitae&pede=quam&posuere=suspendisse&nonummy=potenti&integer=nullam&non=porttitor&velit=lacus&donec=at&diam=turpis&neque=donec&vestibulum=posuere&eget=metus&vulputate=vitae&ut=ipsum&ultrices=aliquam&vel=non&augue=mauris&vestibulum=morbi&ante=non&ipsum=lectus&primis=aliquam&in=sit&faucibus=amet&orci=diam&luctus=in&et=magna&ultrices=bibendum&posuere=imperdiet&cubilia=nullam&curae=orci&donec=pede&pharetra=venenatis&magna=non&vestibulum=sodales&aliquet=sed&ultrices=tincidunt&erat=eu&tortor=felis&sollicitudin=fusce&mi=posuere&sit=felis&amet=sed&lobortis=lacus&sapien=morbi&sapien=sem&non=mauris&mi=laoreet&integer=ut&ac=rhoncus&neque=aliquet&duis=pulvinar&bibendum=sed&morbi=nisl&non=nunc&quam=rhoncus&nec=dui&dui=vel&luctus=sem&rutrum=sed&nulla=sagittis&tellus=nam&in=congue&sagittis=risus&dui=semper&vel=porta&nisl=volutpat&duis=quam&ac=pede&nibh=lobortis&fusce=ligula&lacus=sit&purus=amet&aliquet=eleifend&at=pede,AB-49-D6-B3-AA-81,mil
8,over-blog.com,PHP,27.61,http://deviantart.com/quis/tortor/id.html?a=odio&pede=condimentum&posuere=id&nonummy=luctus&integer=nec&non=molestie&velit=sed&donec=justo&diam=pellentesque&neque=viverra&vestibulum=pede&eget=ac&vulputate=diam&ut=cras&ultrices=pellentesque&vel=volutpat&augue=dui&vestibulum=maecenas&ante=tristique&ipsum=est&primis=et&in=tempus&faucibus=semper&orci=est&luctus=quam&et=pharetra&ultrices=magna&posuere=ac&cubilia=consequat&curae=metus&donec=sapien&pharetra=ut&magna=nunc&vestibulum=vestibulum&aliquet=ante&ultrices=ipsum&erat=primis&tortor=in&sollicitudin=faucibus&mi=orci&sit=luctus&amet=et&lobortis=ultrices&sapien=posuere&sapien=cubilia&non=curae,DF-E1-EB-32-44-70,name
9,lycos.com,ARS,34.01,http://php.net/sit/amet/cursus/id.aspx?primis=mattis&in=egestas&faucibus=metus&orci=aenean&luctus=fermentum&et=donec&ultrices=ut&posuere=mauris&cubilia=eget&curae=massa&mauris=tempor&viverra=convallis&diam=nulla&vitae=neque&quam=libero&suspendisse=convallis&potenti=eget&nullam=eleifend&porttitor=luctus&lacus=ultricies&at=eu&turpis=nibh&donec=quisque&posuere=id&metus=justo&vitae=sit&ipsum=amet&aliquam=sapien&non=dignissim&mauris=vestibulum&morbi=vestibulum&non=ante&lectus=ipsum&aliquam=primis&sit=in&amet=faucibus&diam=orci&in=luctus&magna=et&bibendum=ultrices&imperdiet=posuere&nullam=cubilia&orci=curae&pede=nulla&venenatis=dapibus&non=dolor&sodales=vel&sed=est&tincidunt=donec&eu=odio&felis=justo&fusce=sollicitudin&posuere=ut&felis=suscipit&sed=a&lacus=feugiat&morbi=et&sem=eros&mauris=vestibulum&laoreet=ac&ut=est&rhoncus=lacinia&aliquet=nisi&pulvinar=venenatis&sed=tristique&nisl=fusce&nunc=congue&rhoncus=diam&dui=id&vel=ornare&sem=imperdiet&sed=sapien&sagittis=urna&nam=pretium&congue=nisl&risus=ut&semper=volutpat&porta=sapien&volutpat=arcu&quam=sed&pede=augue&lobortis=aliquam&ligula=erat&sit=volutpat&amet=in&eleifend=congue&pede=etiam&libero=justo&quis=etiam&orci=pretium&nullam=iaculis&molestie=justo&nibh=in&in=hac&lectus=habitasse&pellentesque=platea&at=dictumst,74-A4-79-27-E4-9B,name
10,github.io,MYR,20.85,http://behance.net/ultrices/posuere/cubilia/curae/mauris/viverra.xml?eleifend=ultricies&quam=eu&a=nibh&odio=quisque&in=id&hac=justo&habitasse=sit&platea=amet&dictumst=sapien&maecenas=dignissim&ut=vestibulum&massa=vestibulum&quis=ante&augue=ipsum&luctus=primis&tincidunt=in&nulla=faucibus&mollis=orci&molestie=luctus&lorem=et&quisque=ultrices&ut=posuere&erat=cubilia&curabitur=curae&gravida=nulla&nisi=dapibus&at=dolor&nibh=vel&in=est&hac=donec&habitasse=odio&platea=justo&dictumst=sollicitudin&aliquam=ut&augue=suscipit&quam=a&sollicitudin=feugiat&vitae=et&consectetuer=eros&eget=vestibulum&rutrum=ac&at=est&lorem=lacinia&integer=nisi&tincidunt=venenatis&ante=tristique&vel=fusce&ipsum=congue&praesent=diam&blandit=id&lacinia=ornare&erat=imperdiet&vestibulum=sapien&sed=urna&magna=pretium&at=nisl&nunc=ut&commodo=volutpat&placerat=sapien&praesent=arcu&blandit=sed&nam=augue&nulla=aliquam&integer=erat&pede=volutpat&justo=in&lacinia=congue&eget=etiam&tincidunt=justo&eget=etiam&tempus=pretium&vel=iaculis&pede=justo&morbi=in&porttitor=hac&lorem=habitasse&id=platea&ligula=dictumst&suspendisse=etiam&ornare=faucibus&consequat=cursus&lectus=urna&in=ut&est=tellus&risus=nulla&auctor=ut&sed=erat&tristique=id&in=mauris&tempus=vulputate&sit=elementum&amet=nullam&sem=varius&fusce=nulla&consequat=facilisi&nulla=cras,E2-91-D1-D7-19-39,name
11,accuweather.com,VND,49.36,https://photobucket.com/est/quam/pharetra/magna/ac/consequat.js?eget=vel&nunc=lectus&donec=in&quis=quam&orci=fringilla&eget=rhoncus&orci=mauris&vehicula=enim&condimentum=leo&curabitur=rhoncus&in=sed&libero=vestibulum&ut=sit&massa=amet&volutpat=cursus&convallis=id&morbi=turpis&odio=integer&odio=aliquet&elementum=massa&eu=id&interdum=lobortis&eu=convallis&tincidunt=tortor&in=risus&leo=dapibus&maecenas=augue&pulvinar=vel&lobortis=accumsan&est=tellus&phasellus=nisi&sit=eu&amet=orci&erat=mauris&nulla=lacinia,91-68-39-92-03-BE,org
12,ihg.com,JPY,29.49,http://php.net/ut/blandit/non/interdum/in/ante/vestibulum.png?feugiat=cras&et=pellentesque&eros=volutpat&vestibulum=dui&ac=maecenas&est=tristique&lacinia=est&nisi=et&venenatis=tempus&tristique=semper&fusce=est&congue=quam&diam=pharetra&id=magna&ornare=ac&imperdiet=consequat&sapien=metus&urna=sapien,B2-99-FA-7D-BF-83,info
13,seesaa.net,IDR,13.83,http://mapy.cz/massa/tempor/convallis/nulla.js?aenean=integer&lectus=ac&pellentesque=leo&eget=pellentesque&nunc=ultrices&donec=mattis&quis=odio&orci=donec&eget=vitae&orci=nisi&vehicula=nam&condimentum=ultrices&curabitur=libero&in=non&libero=mattis&ut=pulvinar&massa=nulla&volutpat=pede&convallis=ullamcorper&morbi=augue&odio=a&odio=suscipit&elementum=nulla&eu=elit&interdum=ac&eu=nulla&tincidunt=sed&in=vel&leo=enim&maecenas=sit&pulvinar=amet&lobortis=nunc&est=viverra&phasellus=dapibus&sit=nulla&amet=suscipit&erat=ligula&nulla=in&tempus=lacus&vivamus=curabitur&in=at&felis=ipsum&eu=ac,D4-3B-5D-90-62-85,gov
14,narod.ru,EUR,52.63,http://fastcompany.com/amet/eleifend/pede/libero/quis.png?eget=praesent&eros=lectus&elementum=vestibulum&pellentesque=quam&quisque=sapien&porta=varius&volutpat=ut&erat=blandit&quisque=non&erat=interdum&eros=in&viverra=ante&eget=vestibulum&congue=ante&eget=ipsum&semper=primis&rutrum=in&nulla=faucibus&nunc=orci&purus=luctus&phasellus=et&in=ultrices&felis=posuere&donec=cubilia&semper=curae&sapien=duis&a=faucibus&libero=accumsan&nam=odio&dui=curabitur&proin=convallis&leo=duis&odio=consequat&porttitor=dui&id=nec&consequat=nisi&in=volutpat&consequat=eleifend&ut=donec&nulla=ut&sed=dolor&accumsan=morbi&felis=vel&ut=lectus&at=in&dolor=quam&quis=fringilla&odio=rhoncus&consequat=mauris&varius=enim&integer=leo&ac=rhoncus&leo=sed&pellentesque=vestibulum&ultrices=sit&mattis=amet&odio=cursus&donec=id&vitae=turpis&nisi=integer&nam=aliquet&ultrices=massa&libero=id&non=lobortis&mattis=convallis&pulvinar=tortor&nulla=risus&pede=dapibus&ullamcorper=augue&augue=vel&a=accumsan&suscipit=tellus&nulla=nisi&elit=eu&ac=orci&nulla=mauris&sed=lacinia,E4-C6-3F-16-7A-33,org
15,ustream.tv,EUR,22.94,https://ftc.gov/tortor/quis/turpis/sed.html?ante=lacus&nulla=curabitur&justo=at&aliquam=ipsum&quis=ac&turpis=tellus&eget=semper&elit=interdum&sodales=mauris&scelerisque=ullamcorper&mauris=purus&sit=sit&amet=amet&eros=nulla&suspendisse=quisque&accumsan=arcu&tortor=libero&quis=rutrum&turpis=ac&sed=lobortis&ante=vel,19-F2-EA-38-B0-7D,net
16,scribd.com,EUR,17.84,https://fotki.com/curabitur/in/libero.json?convallis=in&morbi=imperdiet&odio=et&odio=commodo&elementum=vulputate&eu=justo&interdum=in&eu=blandit&tincidunt=ultrices&in=enim&leo=lorem&maecenas=ipsum&pulvinar=dolor&lobortis=sit&est=amet&phasellus=consectetuer&sit=adipiscing&amet=elit&erat=proin&nulla=interdum&tempus=mauris&vivamus=non&in=ligula&felis=pellentesque&eu=ultrices&sapien=phasellus&cursus=id&vestibulum=sapien&proin=in&eu=sapien&mi=iaculis&nulla=congue&ac=vivamus&enim=metus&in=arcu&tempor=adipiscing&turpis=molestie&nec=hendrerit&euismod=at&scelerisque=vulputate&quam=vitae&turpis=nisl&adipiscing=aenean&lorem=lectus&vitae=pellentesque&mattis=eget&nibh=nunc&ligula=donec&nec=quis&sem=orci&duis=eget&aliquam=orci&convallis=vehicula&nunc=condimentum&proin=curabitur&at=in&turpis=libero&a=ut&pede=massa&posuere=volutpat&nonummy=convallis&integer=morbi&non=odio&velit=odio&donec=elementum&diam=eu&neque=interdum&vestibulum=eu&eget=tincidunt&vulputate=in&ut=leo&ultrices=maecenas&vel=pulvinar&augue=lobortis&vestibulum=est&ante=phasellus&ipsum=sit&primis=amet&in=erat&faucibus=nulla&orci=tempus&luctus=vivamus&et=in&ultrices=felis&posuere=eu&cubilia=sapien&curae=cursus&donec=vestibulum&pharetra=proin&magna=eu&vestibulum=mi&aliquet=nulla&ultrices=ac&erat=enim&tortor=in,3F-12-4C-96-DD-85,net
17,mtv.com,JPY,11.94,https://economist.com/pede/posuere/nonummy.aspx?ac=duis&nulla=consequat&sed=dui&vel=nec&enim=nisi&sit=volutpat&amet=eleifend&nunc=donec&viverra=ut&dapibus=dolor&nulla=morbi&suscipit=vel&ligula=lectus&in=in&lacus=quam&curabitur=fringilla&at=rhoncus&ipsum=mauris&ac=enim&tellus=leo&semper=rhoncus&interdum=sed&mauris=vestibulum,DF-EB-30-60-65-5B,name
18,soup.io,SEK,16.76,https://biblegateway.com/venenatis/non/sodales/sed/tincidunt/eu/felis.aspx?ut=sapien&massa=quis&quis=libero&augue=nullam&luctus=sit&tincidunt=amet&nulla=turpis&mollis=elementum&molestie=ligula&lorem=vehicula&quisque=consequat&ut=morbi&erat=a&curabitur=ipsum&gravida=integer&nisi=a&at=nibh&nibh=in&in=quis&hac=justo&habitasse=maecenas&platea=rhoncus&dictumst=aliquam&aliquam=lacus&augue=morbi&quam=quis&sollicitudin=tortor&vitae=id&consectetuer=nulla&eget=ultrices&rutrum=aliquet&at=maecenas&lorem=leo&integer=odio&tincidunt=condimentum&ante=id&vel=luctus&ipsum=nec&praesent=molestie&blandit=sed&lacinia=justo&erat=pellentesque&vestibulum=viverra&sed=pede&magna=ac&at=diam&nunc=cras&commodo=pellentesque&placerat=volutpat&praesent=dui,06-50-A6-A3-70-25,name
19,oaic.gov.au,KMF,25.51,https://google.es/lobortis/ligula/sit/amet/eleifend/pede.aspx?porttitor=etiam&lacus=faucibus&at=cursus&turpis=urna&donec=ut&posuere=tellus&metus=nulla&vitae=ut&ipsum=erat&aliquam=id&non=mauris&mauris=vulputate&morbi=elementum&non=nullam&lectus=varius&aliquam=nulla&sit=facilisi&amet=cras&diam=non&in=velit&magna=nec&bibendum=nisi&imperdiet=vulputate&nullam=nonummy&orci=maecenas&pede=tincidunt&venenatis=lacus&non=at&sodales=velit&sed=vivamus&tincidunt=vel&eu=nulla&felis=eget&fusce=eros&posuere=elementum&felis=pellentesque&sed=quisque&lacus=porta&morbi=volutpat&sem=erat&mauris=quisque&laoreet=erat&ut=eros&rhoncus=viverra&aliquet=eget&pulvinar=congue&sed=eget&nisl=semper&nunc=rutrum&rhoncus=nulla&dui=nunc&vel=purus&sem=phasellus&sed=in&sagittis=felis&nam=donec&congue=semper&risus=sapien&semper=a&porta=libero&volutpat=nam&quam=dui&pede=proin&lobortis=leo&ligula=odio&sit=porttitor&amet=id&eleifend=consequat&pede=in&libero=consequat&quis=ut&orci=nulla&nullam=sed&molestie=accumsan&nibh=felis&in=ut&lectus=at&pellentesque=dolor&at=quis&nulla=odio&suspendisse=consequat&potenti=varius&cras=integer&in=ac&purus=leo&eu=pellentesque&magna=ultrices&vulputate=mattis&luctus=odio&cum=donec&sociis=vitae&natoque=nisi&penatibus=nam&et=ultrices&magnis=libero&dis=non&parturient=mattis,C7-99-A3-4E-52-BB,mil
20,seattletimes.com,RUB,54.63,https://umich.edu/viverra/dapibus/nulla/suscipit/ligula/in/lacus.html?nam=tortor&nulla=quis&integer=turpis&pede=sed&justo=ante&lacinia=vivamus&eget=tortor&tincidunt=duis&eget=mattis&tempus=egestas&vel=metus&pede=aenean&morbi=fermentum&porttitor=donec&lorem=ut&id=mauris&ligula=eget&suspendisse=massa&ornare=tempor&consequat=convallis&lectus=nulla&in=neque&est=libero&risus=convallis&auctor=eget&sed=eleifend&tristique=luctus&in=ultricies&tempus=eu&sit=nibh&amet=quisque&sem=id&fusce=justo&consequat=sit&nulla=amet&nisl=sapien&nunc=dignissim&nisl=vestibulum&duis=vestibulum&bibendum=ante&felis=ipsum&sed=primis&interdum=in&venenatis=faucibus&turpis=orci&enim=luctus&blandit=et&mi=ultrices&in=posuere&porttitor=cubilia&pede=curae&justo=nulla&eu=dapibus&massa=dolor&donec=vel&dapibus=est&duis=donec&at=odio&velit=justo&eu=sollicitudin&est=ut&congue=suscipit&elementum=a&in=feugiat&hac=et&habitasse=eros&platea=vestibulum&dictumst=ac,05-38-3E-0A-74-F4,com
